Problem,Category,Time Complexity,Space Complexity,Notes
Contains Duplicate,Arrays & Hashing,O(n),O(n),"- Hashset, check if the value is in seen otherwise, add it to seen"
Valid Anagram,Arrays & Hashing,O(n + m),O(1),"Two ways to solve this:
- 1) Hashmaps to keep track of char count and then compare
- 2) ASCII values list, adding count of 1 and subtracting count of 2, at the end, the list should have counts of all 0s"
Two Sum,Arrays & Hashing,O(n),O(n),"Loop through every value
- If our target - the value we are looking at is in our hashmap of seen values, return them
- Otherwise, add it to our hashmap"
Group Anagrams,Arrays & Hashing,O(nm),O(nm),"- Loop through strings storing list of counts as the key and string as value (defaultdict(list))
- ASCII values for count
- Read-only view over the dict’s values: result.values()"
Top K Frequent Elements,Arrays & Hashing,O(n),O(n),"- Hashmap for count and dict of lists per number in input list storing count as key and number as values
- Loop to get count of each number
- Loop to store each number and its count in dict
- Return the k most frequent numbers"
Encode and Decode Strings,Arrays & Hashing,O(n),O(n + m),"Encode saving the new string as (length, unique char, string)
Decode Looping until we hit our right bound, using pointers front, middle, and end
- Front points to our first number for our string length
- Middle points to our unique char
- End points to the end of our string"
Product of Array Except Self,Arrays & Hashing,O(n),O(1) or O(n),"- Result list
- Prefix, equal first then multiply update
- Postfix, multiply first then multiply update"
Longest Consecutive Sequence,Arrays & Hashing,O(n),O(n),"- Use a set to iterate quickly
Loop over every unique number
- Check if it is a start of a sequence
- If it is, continue to check the numbers after if it is a sequence
  - Then compare it to the length of the max"
Valid Palindrome,Two Pointers,O(n),O(1),"Loop through Two pointers
- Increment/decrement whether pointer value is within ascii values to avoid non numeric values
- Compare characters at pointer values
- Update pointers"
Two Sum II Input Array Is Sorted,Two Pointers,O(n),O(1),"Loop 2 pointers
- Calculate twoSum, and update pointers based on whether greater or less than target"
Three Sum,Two Pointers,O(n^2),O(1) or O(n),"Result list and sort the input list
- Enumerate though each value in the list
- Check if the smallest value is greater than target
- After the first iteration, check if prev value is the same as current value
- Loop through pointers which are the ends after the value we enumerate
- Calculate threeSum, and update pointers based on whether equal, greater or less than target
   - When equal, update both pointers and duplicate check"
Container With Most Water,Two Pointers,O(n),O(1),"- Two pointers
- Loop through ends (pointers)
- Calculate area
- Update pointers based on which value is smaller"
Best Time to Buy and Sell Stock,Sliding Window,O(n),O(1),"Two pointers 
- Loop until our sell pointer crosses input array bounds
- If sell is greater than buy, get the max of our old and current profit
- Otherwise, this means we have a new low buy, so update pointers accordingly"
Longest Substring Without Repeating Characters,Sliding Window,O(n),O(m),"Hashmap to store char as key and its index as the value
Two pointers
- Loop through our right pointer, adding them to hashmap
- If duplicate (already in seen) & last seen duplicate char index greater than our left pointer
- Update left pointer to last seen duplicate char index + 1 (to skip it)"
Longest Repeating Character Replacement,Sliding Window,O(n),O(m),"- Dictionary to store unique letters as keys and counts as values
Two pointers, loop with right pointer, update counts and max length
- While the most frequency letter plus k is less than the length of the string
  - Update the letters count and left pointer"
