Problems,Column 5,Solution 1,Solution 2,Solution 3
Contains Duplicate,Arrays & Hashing,"class Solution:
    def hasDuplicate(self, nums: List[int]) -> bool:
        seen = set()

        for num in nums:
            if num in seen:
                return True
            else:
                seen.add(num)

        return False",,
Valid Anagram,Arrays & Hashing,"class Solution:
    def isAnagram(self, s: str, t: str) -> bool:
        if len(s) != len(t):
            return False
        
        count = [0] * 26

        for char in range(len(s)):
            count[ord(s[char]) - ord('a')] += 1
            count[ord(t[char]) - ord('a')] -= 1

        for charCount in range(len(count)):
            if count[charCount] != 0:
                return False

        else: 
            return True",,
Two Sum,Arrays & Hashing,"class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        seen = {}

        for key, num in enumerate(nums):
            difference = target - num
            if difference in seen:
                return [seen[difference], key]
            seen[num] = key",,
Group Anagrams,Arrays & Hashing,"class Solution:
    def groupAnagrams(self, strs: List[str]) -> List[List[str]]:
        result = defaultdict(list)

        for s in strs:
            count = [0] * 26
            for c in range(len(s)):
                count[ord(s[c]) - ord('a')] += 1
            result[tuple(count)].append(s)

        return list(result.values())",,
Top K Frequent Elements,Arrays & Hashing,"class Solution:
    def topKFrequent(self, nums: List[int], k: int) -> List[int]:
        frequency = [[] for i in range(len(nums) + 1)]
        counts = defaultdict(int)

        for num in nums:
            counts[num] += 1
        
        for num, count in counts.items():
            frequency[count].append(num)

        result = []

        for i in range(len(frequency) - 1, -1, -1):
            for num in frequency[i]:
                result.append(num)

                if len(result) == k:
                    return result
",,
Encode and Decode Strings,Arrays & Hashing,"class Solution:

    def encode(self, strs: List[str]) -> str:
        result = """"

        for s in strs:
            result += str(len(s)) + ""!"" + s

        return result

    def decode(self, s: str) -> List[str]:
        if s == None or s == """":
            return []

        result = []
        l, r = 0, 0

        while r < len(s):
            while s[r] != ""!"" and r < len(s):
                r += 1
            length = int(s[l:r])

            l = r + 1
            r = l + length

            result.append(s[l:r])
            l = r
            
        return result",,
Product of Array Except Self,Arrays & Hashing,"class Solution:
    def productExceptSelf(self, nums: List[int]) -> List[int]:
        result = [1] * len(nums)

        prefix = 1
        for i in range(len(nums)):
            result[i] = prefix
            prefix *= nums[i]

        postfix = 1
        for i in range(len(nums) - 1, -1, -1):
            result[i] *= postfix
            postfix *= nums[i]

        return result",,
Valid Sudoku,Arrays & Hashing,"class Solution:
    def isValidSudoku(self, board: List[List[str]]) -> bool:
        rows = [set() for i in range(9)]
        cols = [set() for i in range(9)]
        boxes = [set() for i in range(9)]

        for row in range(9):
            for col in range(9):
                value = board[row][col]
                if value == ""."":
                    continue
                
                boxID = (row // 3) + (col // 3) * 3
                
                if (value in rows[row] or
                    value in cols[col] or 
                    value in boxes[boxID]):
                    return False

                rows[row].add(value)
                cols[col].add(value)
                boxes[boxID].add(value)

        return True",,
Longest Consecutive Sequence,Arrays & Hashing,"class Solution:
    def longestConsecutive(self, nums: List[int]) -> int:
        numSet = set(nums)
        longest = 0

        for num in numSet:
            if (num - 1) not in numSet:
                length = 1
                
                while (num + length) in numSet:
                    length += 1
                longest = max(length, longest)
        
        return longest


",,
Valid Palindrome,Two Pointers,"class Solution:
    def isPalindrome(self, s: str) -> bool:
        if not s or s == """":
            return True
        
        l, r = 0, len(s) - 1 

        def isAlphaNum(char) -> bool:
            return (ord('a') <= ord(char) <= ord('z') or
                    ord('A') <= ord(char) <= ord('Z') or
                    ord('0') <= ord(char) <= ord('9'))

        while l < r:
            while not isAlphaNum(s[l]) and l < r:
                l += 1

            while not isAlphaNum(s[r]) and l < r:
                r -= 1

            if s[l].lower() != s[r].lower():
                return False
            
            l += 1
            r -= 1
        
        return True

        ",,
Two Sum II Input Array Is Sorted,Two Pointers,"class Solution:
    def twoSum(self, numbers: List[int], target: int) -> List[int]:
        l, r = 0, len(numbers) - 1

        while l < r:
            twoSum = numbers[l] + numbers[r]

            if twoSum < target:
                l += 1
            elif twoSum > target:
                r -= 1
            else:
                return [l + 1, r + 1]
        return []",,
